,log_score_0,distance_0,comp_0,log_score_1,distance_1,comp_1,log_score_2,distance_2,comp_2,log_score_3,distance_3,comp_3,log_score_4,distance_4,comp_4
54,-0.21789511564399713,7.15,2.0,-1.1727385441121598,7.44,0.0,-1.1999562790986318,7.18,2.0,-1.1482162004212186,7.1,2.0,-1.2624687728775272,7.11,2
55,-2.42221682257053,0.86,0.0,-1.179350241402914,7.18,2.0,-5.884459225589952,2.36,0.0,-4.874585797005539,1.93,2.0,-1.1663229102129433,7.44,0
56,-0.2178545705403909,5.07,2.0,-6.179497961568213,2.36,0.0,5.332131426955569,3.48,0.0,-1.5766318373544181,5.15,1.0,-1.1783768542774975,7.18,2
57,-0.21789511564401245,7.02,2.0,5.005139947185802,3.48,0.0,-1.1891162260256707,3.76,0.0,-1.2104767143753956,5.74,1.0,-5.8327512178518495,2.36,0
58,-0.21787858525425377,7.36,2.0,-1.1728522708723117,3.76,0.0,-1.317036060995253,7.12,0.0,-1.2083783613418815,7.68,0.0,5.320603174391768,3.48,0
59,-2.6654116718597702,0.76,1.0,-1.2978473385558345,7.12,0.0,-10.873428420565112,1.17,4.0,-1.1262872139887394,7.37,0.0,-1.167261175542523,3.76,0
60,-0.22256340785185275,0.89,4.0,-10.986732938789512,1.17,4.0,-2.4882833662596657,2.09,0.0,-1.1262872139887994,6.94,2.0,-1.295157382568485,7.12,0
61,-0.2179315967760462,5.14,4.0,-2.4321882869693128,2.09,0.0,-1.1999562808712139,7.15,2.0,-1.126287220417531,4.58,2.0,-10.806701924084736,1.17,4
62,-6.660440495560573,0.91,1.0,-1.1793502426942613,7.15,2.0,-3.38318434252366,0.86,0.0,-2.0362131038842297,1.13,1.0,-2.5117956774825223,2.09,0
63,-0.21782569833544427,7.1,2.0,-3.3329729369430168,0.86,0.0,-1.189027059083109,5.07,2.0,-1.1262872139887987,7.02,1.0,-1.1783768560177812,7.15,2
64,-2.650809704822307,1.93,2.0,-1.1740000477269623,5.07,2.0,-1.1877890141515468,7.02,2.0,-4.895711840888058,0.86,3.0,-4.034910695789524,0.86,0
65,-0.26190735199749254,5.15,1.0,-1.1727385441121598,7.02,2.0,-1.1893717139033384,7.36,2.0,-4.756943487980975,0.69,1.0,-1.1677812823398823,5.07,2
66,-0.21669485653706913,5.74,1.0,-1.172941941397957,7.36,2.0,-5.16457449151739,0.76,1.0,-4.752888416049186,0.69,1.0,-1.1663229102129433,7.02,2
67,-0.2184536003361735,7.68,0.0,-4.808294441280892,0.76,1.0,-1.818729034803215,0.89,4.0,-1.9053703312188306,5.56,3.0,-1.1673952592763286,7.36,2
68,-0.21789511564400624,7.37,0.0,-2.0542904912837825,0.89,4.0,-1.187817821549419,5.14,4.0,-1.1262872139887987,7.31,0.0,-5.062775732040294,0.76,1
69,-0.21789511564401232,6.94,2.0,-1.1727644072901806,5.14,4.0,-11.001706738752356,0.91,1.0,-1.1262872141779656,7.63,0.0,-1.8616341358703936,0.89,4
70,-0.2178951250827675,4.58,2.0,-11.14378447193869,0.91,1.0,-1.2190743810705742,7.1,2.0,-4.362777837348656,7.07,3.0,-1.166351478648653,5.14,4
71,-1.8644013030508293,1.13,1.0,-1.2028264947765366,7.1,2.0,-5.1637928717472015,1.93,2.0,-9.730037923719557,7.23,3.0,-10.970228653087652,0.91,1
72,-0.21789511564401245,7.02,1.0,-4.789148496630226,1.93,2.0,-1.6666061430558206,5.15,1.0,-5.680431151924633,2.27,2.0,-1.1806851106451772,7.1,2
73,-2.6726840183123484,0.86,3.0,-1.5266323762306162,5.15,1.0,-1.286790160557144,5.74,1.0,-9.115376637301798,7.05,3.0,-5.046765007758978,1.93,2
74,-2.480138201518954,0.69,1.0,-1.234798607242005,5.74,1.0,-1.1889613118264124,7.68,0.0,-1.1264443955025145,7.36,1.0,-1.6152317007359251,5.15,1
75,-2.4393851636635295,0.69,1.0,-1.1889020726272157,7.68,0.0,-1.1877890141514689,7.37,0.0,-1.2106765155667227,2.81,1.0,-1.2628104265185676,5.74,1
76,-0.22202747224683597,5.56,3.0,-1.1727385441121454,7.37,0.0,-1.1877890141515468,6.94,2.0,-1.1262872146160405,7.4,0.0,-1.1681851321549324,7.68,0
77,-0.21789511564401245,7.31,0.0,-1.1727385441121598,6.94,2.0,-1.187789020287153,4.58,2.0,-1.8809920656120929,7.34,1.0,-1.1663229102128942,7.37,0
78,-0.21789511575315176,7.63,0.0,-1.1727385496090696,4.58,2.0,-2.049737438190996,1.13,1.0,-4.8957132441684585,1.06,0.0,-1.1663229102129433,6.94,2
79,-3.9682811687128736,7.07,3.0,-2.082842459434422,1.13,1.0,-1.1877890141515468,7.02,1.0,-8.209612844461882,0.72,2.0,-1.1663229161137383,4.58,2
80,-4.8621825864655035,7.23,3.0,-1.1727385441121598,7.02,1.0,-5.183870644684154,0.86,3.0,-1.1262872139887987,6.41,0.0,-2.0566687998920568,1.13,1
