"X_ScoreRateH";"X_ScoreRateA";"X_ConcedeRateH";"X_ConcedeRateA";"X_CornerRatioH";"X_CornerRatioA";"X_FoulRatioH";"X_FoulRatioA";"GoalsScored"
1;0.8;2;1.4;0.363636364;0.476635514;0.584415584;0.496710526;NA
1.821428571;0.928571429;1.142857143;1.607142857;0.54313099;0.442934783;0.451187335;0.508706468;NA
0.928571429;1.357142857;1.571428571;1.428571429;0.404109589;0.575342466;0.472275335;0.515228426;NA
0.733333333;1.066666667;1.933333333;1.4;0.42384106;0.527272727;0.524475524;0.462068966;NA
0.971428571;2.857142857;1.542857143;0.971428571;0.49197861;0.587926509;0.526893524;0.471823204;NA
3;1.405405405;1.054054054;1.243243243;0.651917404;0.462264151;0.434210526;0.463137996;NA
3;1.769230769;0.5;0.923076923;0.775362319;0.463235294;0.405405405;0.482954545;NA
1.44;1.48;1.48;1.44;0.628205128;0.483394834;0.394230769;0.481481481;NA
1.827586207;2.75862069;1.517241379;1.034482759;0.573248408;0.582236842;0.541120381;0.467783505;NA
1.157894737;0.631578947;1.421052632;1.368421053;0.502164502;0.435185185;0.508379888;0.469979296;NA
1.111111111;0.555555556;1.333333333;1.111111111;0.549450549;0.5;0.469465649;0.553278689;NA
1.375;1.625;1.875;0.625;0.384615385;0.536363636;0.46179402;0.40990991;NA
2.967741935;1.096774194;0.870967742;1.129032258;0.592375367;0.524916944;0.415829146;0.492239468;NA
1.333333333;1.166666667;2.333333333;1.666666667;0.5;0.575757576;0.474025974;0.5;NA
1.75;0.65625;0.78125;1.78125;0.416129032;0.49691358;0.476892822;0.520130577;NA
0.6875;0.625;1.6875;1.625;0.375722543;0.464516129;0.46275395;0.555075594;NA
2.393939394;0.96969697;0.787878788;1.363636364;0.614958449;0.485623003;0.493121693;0.54076087;NA
0.75;1.75;1.5;0.875;0.5;0.712328767;0.545454545;0.46122449;NA
1.266666667;1.2;1.533333333;2.133333333;0.46031746;0.570552147;0.55450237;0.523489933;NA
0.9375;1.25;1.15625;1.40625;0.5;0.471810089;0.52814739;0.470232089;NA
1.095238095;1.047619048;1.428571429;1.142857143;0.444976077;0.514403292;0.433862434;0.478040541;NA
2;1.5;1.5;3;0.486486486;0.483870968;0.554621849;0.588709677;NA
1.038461538;1.346153846;1.461538462;1.461538462;0.47080292;0.458483755;0.498113208;0.484029484;NA
1.36;0.88;1.24;1.4;0.612903226;0.45229682;0.557416268;0.462365591;NA
3;1.142857143;0.542857143;1.257142857;0.633136095;0.469733656;0.392533937;0.466076696;NA
1.285714286;0.942857143;0.914285714;1.657142857;0.543367347;0.43977591;0.524364407;0.5408867;NA
0.777777778;1.277777778;1.5;1.333333333;0.362162162;0.333333333;0.471057884;0.561616162;NA
1.153846154;0.846153846;2.076923077;1.461538462;0.412162162;0.514705882;0.461538462;0.537530266;NA
1.125;1.1875;1.3125;1.5625;0.517647059;0.465909091;0.552631579;0.563414634;NA
0.777777778;1;1.166666667;1.333333333;0.420212766;0.378378378;0.525951557;0.524621212;NA
0.84;1;1.92;1.36;0.444915254;0.357142857;0.528671329;0.554896142;NA
1;1.333333333;1.555555556;1.222222222;0.451219512;0.544444444;0.527472527;0.508710801;NA
1.368421053;1;1.631578947;1.578947368;0.492957746;0.487562189;0.48349835;0.484949833;NA
1.742857143;3.088235294;0.8;1.088235294;0.628342246;0.647249191;0.52581262;0.436470588;NA
1.230769231;1.961538462;1.423076923;0.884615385;0.5;0.582222222;0.506218905;0.492884864;NA
1.15625;2.96875;1.0625;0.875;0.651376147;0.591954023;0.529718457;0.410564226;NA
0;2.5;0;2;0.391304348;0.53125;0.5;0.474576271;NA
1.842105263;1.666666667;0.894736842;0.944444444;0.421052632;0.563218391;0.470978441;0.539823009;NA
1.433333333;0.866666667;1.4;1.566666667;0.51884058;0.44783715;0.453474676;0.511972634;NA
1;2.75;1.125;0.5;0.493333333;0.616438356;0.457264957;0.513157895;NA
1.115384615;0.653846154;1.884615385;1.538461538;0.479087452;0.523255814;0.474213836;0.530104712;NA
0;3;2;1;0.384615385;0.5;0.590909091;0.558823529;NA
0.904761905;1.285714286;1.285714286;1.619047619;0.547945205;0.452991453;0.516949153;0.530329289;NA
1.4;3;2.2;1.4;0.357142857;0.703703704;0.455;0.45890411;NA
1.333333333;0.333333333;1.333333333;1.666666667;0.275862069;0.407407407;0.37037037;0.506329114;NA
1.2;0.8;1.333333333;1.066666667;0.528735632;0.514124294;0.517482517;0.533980583;NA
0.941176471;1.588235294;2.352941176;1.058823529;0.521276596;0.556603774;0.501953125;0.444668008;NA
0.888888889;0.694444444;1.666666667;1.583333333;0.384816754;0.430025445;0.562943262;0.50795053;NA
0.857142857;1.19047619;1.619047619;1.380952381;0.422885572;0.346491228;0.513343799;0.555363322;NA
0.962962963;1.185185185;1.259259259;1.444444444;0.36996337;0.459459459;0.531939605;0.528120713;NA
1.7;0.9;1.5;1.7;0.398373984;0.495238095;0.492647059;0.503649635;NA
1.25;0.75;1.25;1;0.5;0.444444444;0.532110092;0.519230769;NA
3.103448276;1.103448276;1.137931034;2;0.630597015;0.458666667;0.425414365;0.564766839;NA
0.933333333;1.333333333;1.8;2.133333333;0.408376963;0.513227513;0.6;0.498771499;NA
1.483870968;1.548387097;1.193548387;1.709677419;0.545454545;0.50728863;0.559411146;0.518828452;NA
1.722222222;1.083333333;0.833333333;1.944444444;0.627968338;0.48206278;0.528372093;0.564278705;NA
1.5;1;1;0.5;0.45;0.35;0.441176471;0.565217391;NA
1.064516129;0.838709677;1.870967742;1.677419355;0.417127072;0.405555556;0.543700341;0.500606061;NA
0.923076923;3.538461538;1.615384615;0.769230769;0.492753623;0.533898305;0.47979798;0.430025445;NA
1.461538462;1.884615385;1.423076923;1.153846154;0.505050505;0.563829787;0.450762829;0.448717949;NA
3;0.888888889;0.444444444;1.222222222;0.758241758;0.410526316;0.416289593;0.589147287;NA
1.666666667;1.666666667;1.333333333;1.333333333;0.4;0.525;0.444444444;0.649350649;NA
0.96969697;1.545454545;1.757575758;1.484848485;0.428571429;0.478873239;0.506134969;0.471050049;NA
